server_fit,server_ev,supernode-2_fit,supernode-2_ev,supernode-5_fit,supernode-5_ev,supernode-4_fit,supernode-4_ev,supernode-3_fit,supernode-3_ev,supernode-1_fit,supernode-1_ev
28.742610931396484,41.06621289253235,13.26985216140747;22.380024194717407,35.05572700500488,10.270143985748291;19.49790048599243;28.693501472473145,35.046156883239746,13.202800035476685;22.355217933654785,35.05478882789612,22.297566175460815,41.065343379974365,10.228546380996704;19.47230887413025;28.65896701812744,35.04711937904358
65.85368466377258,78.09740328788757,47.41413402557373;56.59559631347656;65.77748608589172,72.14461135864258,50.49832892417908;56.67319369316101;65.80245923995972,72.13169193267822,50.37003993988037;59.62361693382263,72.14938068389893,59.47435808181763,78.09616422653198,50.35284924507141;59.53794598579407,72.1475293636322
102.89441895484924,115.23950052261353,87.56804823875427;96.79812598228455,112.22718954086304,87.47643804550171;93.65100121498108;102.8446319103241,109.2196216583252,87.38164567947388;96.54543590545654,112.23311924934387,96.388174533844,115.23881602287292,87.51006436347961;96.78361463546753,112.23026704788208
142.9513967037201,158.2475655078888,124.53284096717834;133.70565700531006;142.86806845664978,149.16999673843384,121.68111681938171;130.91476154327393;140.07035565376282,149.2313015460968,124.61425805091858;133.77999758720398;142.90155291557312,149.23670291900635,136.65903973579407,158.24688744544983,121.65664839744568;130.8537735939026;140.04335808753967,149.24072289466858
183.1356382369995,195.4349091053009,167.60751461982727;176.80761814117432,189.4185070991516,167.64439344406128;173.8559377193451;182.98816084861755,189.4146773815155,167.72476434707642;173.94020056724548;183.0759403705597,189.4225356578827,176.64973258972168,195.4342646598816,167.51631951332092;176.75802493095398,189.4136037826538
217.1741452217102,229.463623046875,201.7623291015625;210.91300415992737;217.12403678894043,226.45351266860962,204.75420236587524;213.91659784317017,226.45459604263306,204.77786993980408;214.01672911643982,223.4520628452301,213.7941300868988,229.46297216415405,204.83865976333618;214.0970220565796,223.45306825637817
254.22452449798584,269.55068945884705,238.88896989822388;248.05222964286804,260.5368175506592,235.83693838119507;241.99984574317932;251.133798122406,257.5299117565155,235.71454572677612;244.88748121261597;254.0485384464264,260.54253816604614,247.74517679214478,269.55003118515015,238.86011695861816;245.02576208114624;254.17348551750183,260.44814944267273
291.2610011100769,303.5450437068939,278.9741942882538;288.21347212791443,297.53802013397217,278.9334783554077;288.1356108188629,297.53901863098145,279.0338068008423;288.22521209716797,300.5424041748047,284.98382449150085,303.5448501110077,275.90888237953186;282.10634207725525;291.21029019355774,297.5369870662689
331.06667160987854,343.3665554523468,309.7737765312195;318.90845584869385;328.0446424484253,340.35753870010376,312.87941694259644;319.0070991516113;328.1970639228821,337.3209774494171,309.8817231655121;319.09123134613037;328.2316508293152,337.3570384979248,321.95052099227905,343.36595129966736,312.7693347930908;321.868456363678;331.01457715034485,337.3045446872711
362.07856273651123,374.36368060112,352.62815523147583;361.8293807506561,368.35472559928894,352.80099511146545;362.00385999679565,368.35569024086,352.75379514694214;362.01886653900146,371.3572165966034,361.7271375656128,374.3630692958832,352.69313883781433;361.90040397644043,371.35580015182495
399.1731004714966,411.4782648086548,383.65209102630615;392.96668457984924,408.46942830085754,383.8571038246155;390.0060842037201;399.12222266197205,405.4670901298523,380.6877546310425;389.87824010849;399.0311403274536,405.4660725593567,392.86921644210815,411.4776804447174,383.83884382247925;393.00389218330383,405.46800088882446
436.22499990463257,445.5518774986267,420.7693395614624;427.0065772533417;433.1946861743927,442.4823760986328,420.92492032051086;430.09339594841003,445.55123710632324,420.84249567985535;426.98104333877563;436.17367577552795,442.53928565979004,429.8461334705353,445.5468816757202,420.94587230682373;430.1114881038666,442.53801465034485
470.3543086051941,479.62790846824646,454.943772315979;464.07411670684814,476.61462211608887,451.9186112880707;461.1288387775421;470.3023519515991,476.5769579410553,451.8845224380493;461.1078314781189;467.27167201042175,479.62143301963806,463.9627208709717,479.62724351882935,454.87988901138306;461.03959012031555;470.21068263053894,476.57796263694763
