server_fit,server_ev,supernode-5_fit,supernode-5_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev
18.749655723571777,28.035906314849854,9.432597160339355;18.6725914478302,25.016687631607056,9.48347783088684,25.020633459091187,6.401994705200195;18.69951319694519,25.027410745620728,18.349686861038208,28.03512167930603,9.445451736450195;15.69523024559021,25.021395206451416
46.864529609680176,56.23976254463196,34.393165826797485;46.76654005050659,53.240328550338745,37.4994695186615,53.237523794174194,37.467695236206055;46.81477665901184,53.23936414718628,46.4275336265564,56.23957276344299,37.46769046783447;46.814780473709106,53.23855805397034
75.02963471412659,84.35455465316772,65.65607261657715;74.93524956703186,81.3417067527771,65.6514720916748;74.97987937927246,81.34074354171753,65.5980384349823;74.9798834323883,81.34255504608154,74.64071559906006,84.35388803482056,65.69617891311646,84.34857869148254
103.15419220924377,112.44311118125916,93.77738952636719;103.10445594787598,109.44098472595215,93.73834252357483;103.04169464111328,109.38507413864136,93.80865526199341,112.44258260726929,102.7960262298584,112.44183659553528,90.64032053947449;103.10445213317871,109.38284063339233
131.1696994304657,140.49104928970337,121.84195590019226,140.49044036865234,118.75038743019104;131.05824494361877,137.48185992240906,121.80880975723267;131.10770416259766,137.48017716407776,130.8510720729828,140.45898628234863,121.76597189903259;131.10770750045776,137.48097443580627
168.63759469985962,180.9342119693756,149.91444611549377;159.24251246452332;168.58632731437683,177.93205046653748,149.94963574409485;168.58632373809814,174.9233536720276,149.86930775642395;159.2822277545929,174.9244029521942,161.89612245559692,180.93362426757812,149.9144504070282;156.18232893943787;168.52718234062195,174.86159372329712
208.90071153640747,218.22146773338318,190.3742733001709;208.81815481185913,215.21696662902832,190.33534240722656;199.69143152236938,218.21997165679932,187.31614637374878;199.59120106697083;208.85054683685303,215.21914052963257,202.33465027809143,218.22126054763794,190.32216811180115;199.59175395965576;205.84600925445557,215.21820330619812
237.00741267204285,246.27241396903992,224.54496836662292;236.95880889892578,243.26716709136963,230.54791164398193,246.27224683761597,227.58068871498108;236.89675283432007,243.26857805252075,236.56803035736084,246.27134108543396,227.58458733558655;236.95880579948425,246.27033591270447
264.88626766204834,274.241516828537,252.5281925201416;264.8219096660614,271.2301170825958,255.61108374595642,274.2409257888794,255.56894063949585;261.8187882900238,274.2362630367279,264.6089859008789,274.1546266078949,252.57598543167114;264.83664417266846,271.2290964126587
292.9957947731018,302.2664866447449,280.6015338897705;292.93641924858093,299.19971537590027,283.6188757419586;289.9091124534607,299.2601315975189,283.66911816596985,302.26591062545776,292.6416039466858,302.2071931362152,280.6240613460541;292.86130261421204,299.25916028022766
330.2421905994415,339.5405595302582,308.6036834716797;320.9405605792999;330.19193625450134,339.53993463516235,311.62082839012146;320.9710657596588,336.5336151123047,311.68533420562744;327.20107078552246,336.53277373313904,323.61637473106384,339.463406085968,311.65311193466187;317.91396975517273;330.16337180137634,336.53183364868164
367.55175042152405,376.87103390693665,345.89066338539124;358.22595715522766;367.50329399108887,373.8639290332794,349.0736708641052;367.4417071342468,376.86989402770996,348.9062237739563;358.18534803390503;367.50329065322876,373.86287927627563,361.0805494785309,376.87086248397827,345.9145276546478;358.25591468811035,373.86484813690186
395.64802289009094,407.9475600719452,386.25932335853577;395.5991208553314,401.9396743774414,386.31112456321716,401.94164633750916,386.1539499759674;395.59911727905273,401.9406063556671,395.3100416660309,407.94727182388306,383.26097869873047;395.54818058013916,401.9424331188202
426.615359544754,435.9152979850769,417.29518818855286;426.5453848838806,432.9197940826416,417.33912777900696,432.88270902633667,414.2893249988556;426.56214332580566,432.8874251842499,426.28051590919495,435.91510701179504,417.2744710445404;423.5508875846863,432.9214029312134
454.5978698730469,463.8759865760803,442.22663736343384;454.5349748134613,460.86873269081116,445.367821931839,460.8676528930664,445.1927855014801;451.47369170188904,463.8754036426544,454.22899293899536,463.8170359134674,445.1637442111969;454.53896832466125,460.80706310272217
485.5929579734802,497.9045078754425,473.27139472961426;479.53205609321594,491.89080929756165,473.275532245636;482.50861644744873,491.88247871398926,473.23712372779846;485.54273653030396,494.8972089290619,482.3756046295166,497.9043309688568,473.31156277656555,491.8917851448059
526.0332205295563,535.3773438930511,507.3558111190796;516.6697816848755;525.9206564426422,532.3727822303772,507.4045991897583;525.9838707447052,532.3718616962433,507.3226454257965;513.5880124568939;525.9838738441467,532.3736584186554,519.3962833881378,535.3130095005035,507.3724911212921;516.7049226760864,535.3769266605377
554.0638747215271,563.2720692157745,544.7496092319489;551.0150997638702,560.274453163147,541.678480386734;554.0134470462799,560.2699937820435,544.7963433265686,560.3148744106293,553.7037596702576,563.2714715003967,541.7430486679077;553.9731295108795,560.3096420764923
582.0047142505646,594.2367973327637,572.5420837402344;581.9542789459229,588.2959334850311,572.6816902160645,588.2914824485779,572.6464462280273;581.9542756080627,588.286919593811,581.5478386878967,594.2361876964569,572.650025844574;581.9007353782654,588.2819309234619
