server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
18.594714879989624,24.889526844024658,6.433535099029541;15.567269086837769,24.887178897857666,9.366026878356934;18.54392647743225,24.837631464004517,9.344024896621704;15.508238077163696,24.889219999313354,9.47971796989441,24.832823276519775,6.33094596862793;15.534839630126953,24.88437008857727
43.57943534851074,52.86546206474304,34.268930196762085;43.44961094856262,49.85906362533569,34.354217290878296;43.52489233016968,49.8582501411438,34.404995918273926,52.82852125167847,34.18112254142761;40.3837513923645,52.81935143470764,34.29720973968506;43.49896836280823,52.86476731300354
71.54096746444702,80.8940315246582,62.242557764053345;71.43994498252869,77.89082980155945,62.334205865859985;71.48802781105042,77.891685962677,62.394314765930176,77.88993835449219,62.25823640823364;71.46518874168396,80.89383363723755,59.214622259140015;68.39846587181091,77.88899254798889
99.47771525382996,105.793452501297,87.27607727050781;96.50356483459473,105.79108023643494,90.34296417236328,105.79327034950256,90.25624322891235;99.42464208602905,105.7626039981842,90.18692421913147;99.38042712211609,105.7922043800354,87.25086092948914;96.44170594215393,105.79001140594482
124.43629908561707,133.78761982917786,118.10507869720459,133.78701090812683,115.06865000724792;124.23552989959717,130.71467781066895,115.1916241645813;124.37595272064209,130.78002667427063,112.12898778915405;121.2714033126831,130.78100419044495,115.15868473052979;124.34524440765381,130.78184533119202
152.4186782836914,161.71499943733215,146.13287711143494;152.27944564819336,161.71148300170898,143.113667011261;152.3423252105713,158.70376873016357,143.20347595214844;152.36688828468323,161.71236085891724,146.24574184417725,161.71436738967896,143.3228783607483;149.48154401779175,158.70498943328857
180.30739760398865,189.59358763694763,171.0804786682129;180.22980046272278,186.5684630870819,168.10284686088562;177.36017537117004,186.58499455451965,174.1493570804596,186.5676233768463,174.11400866508484;180.25558495521545,189.59295177459717,168.19086980819702;177.36568903923035,186.56683206558228
208.33261442184448,217.61340713500977,198.92502236366272;208.11920762062073,214.54005074501038,198.9964246749878;208.18954920768738,214.60030817985535,199.10403275489807;205.27643203735352,217.61253547668457,199.1620216369629,217.60769987106323,199.04063940048218;208.2811667919159,214.53892254829407
236.33933115005493,242.6028356552124,227.1353325843811,242.53289794921875,226.95606207847595;236.14256119728088,242.59416675567627,223.87333393096924;233.1258020401001,242.60209774971008,227.0977623462677;236.28595614433289,242.59761691093445,227.07346200942993;233.21043229103088,242.5319788455963
264.1693067550659,270.4896731376648,251.86980509757996;261.0455846786499,270.48263144493103,251.8935203552246;264.10638070106506,270.473317861557,252.02384757995605;261.1906006336212,270.4778172969818,252.0766956806183,270.4891757965088,251.99634194374084;261.1564371585846,270.4857087135315
289.1329708099365,295.4496431350708,279.87266850471497;289.0785834789276,295.44613099098206,276.9200670719147;286.12593698501587,295.4379725456238,282.90589451789856,295.44928002357483,282.87329053878784;289.04798316955566,295.43287992477417,276.89672088623047;286.10139870643616,295.4427902698517
314.0522117614746,320.3907947540283,304.8414239883423;314.00159096717834,320.3873178958893,304.8621015548706,320.39037251472473,301.7612111568451;310.9518256187439,320.3750796318054,304.7712354660034;313.96484875679016,320.38453340530396,301.7863223552704;310.9806532859802,320.38087248802185
339.093697309494,345.3745586872101,329.9168059825897,345.36500787734985,329.8634490966797;339.0415458679199,345.3740541934967,326.73236417770386;335.9534785747528,345.3310856819153,329.75405192375183;339.0268671512604,345.3596405982971,326.767546415329;335.98901534080505,345.37335300445557
364.04365158081055,373.32262134552,354.76896381378174;363.9650926589966,370.3146011829376,354.86295342445374,370.3161098957062,354.78840017318726;363.98569893836975,373.3223993778229,354.6813414096832;360.9284129142761,373.32162404060364,351.70034766197205;360.92663621902466,370.29561495780945
