server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
21.916240692138672,28.21243405342102,12.659729719161987;21.865837574005127,28.211395025253296,12.695639610290527,28.209391832351685,12.518423080444336;21.833032608032227,28.133867740631104,12.656378984451294;21.848122596740723,28.210583925247192,9.58826208114624;21.801859378814697,28.21222472190857
47.01080060005188,56.26251173019409,37.74790978431702,53.31294322013855,37.67419505119324;43.938169956207275,53.314005851745605,37.62054419517517;46.95991492271423,53.311620235443115,37.47531795501709;46.85073518753052,56.2543888092041,37.588310956954956;46.89499497413635,56.261876821517944
77.94924283027649,87.26364040374756,65.64690375328064;77.89562177658081,87.20363020896912,65.5950198173523;77.89922499656677,87.21638870239258,65.67734622955322,84.25647616386414,62.674593448638916;68.89092803001404,87.26304912567139,62.67459750175476;71.8928062915802,84.25547790527344
105.93717694282532,112.2295401096344,96.64930081367493;102.86596250534058,112.22401762008667,96.71304225921631,112.22686266899109,93.68099451065063;102.90855693817139,112.22273325920105,96.67518544197083;105.88690376281738,112.22919774055481,93.68099093437195;102.92295289039612,112.22477293014526
130.89300918579102,137.18587040901184,121.49080204963684;130.72048473358154,137.14738273620605,121.65319204330444;130.8327820301056,134.17967796325684,118.4927659034729;130.70550107955933,137.18572282791138,121.67595267295837,137.1253468990326,121.60121631622314;127.88753890991211,137.18484902381897
156.01964211463928,165.35890889167786,146.75428986549377;155.95276808738708,162.26577758789062,149.59888005256653,165.35824465751648,143.6391179561615;155.9527711868286,162.35235953330994,146.5886514186859;155.91769456863403,162.26670217514038,146.74534273147583;155.97047352790833,162.35140419006348
184.15402483940125,193.43904614448547,174.6778974533081;184.094096660614,190.4338502883911,174.79642271995544;184.10392308235168,190.4904294013977,174.91638493537903,190.49204754829407,174.79641962051392;184.07698774337769,190.49131298065186,174.74009227752686;181.02531957626343,193.43886733055115
212.17609977722168,218.4572274684906,202.82574486732483;212.1263439655304,215.43994402885437,202.75282287597656;212.08447980880737,218.45169258117676,202.82574200630188;212.12218832969666,218.39114713668823,202.93122005462646,218.44709467887878,202.75695705413818;212.04964065551758,218.4566466808319
237.20470809936523,246.53270149230957,227.91326904296875;237.1379268169403,243.44395303726196,230.907701253891,246.52713060379028,227.73730993270874;237.11964106559753,243.52013850212097,227.94124794006348;237.15453958511353,246.53209853172302,224.79077744483948;237.0843846797943,243.52095651626587
265.25586915016174,271.52456998825073,252.86618041992188;265.1431791782379,271.49451327323914,255.88667011260986;265.163822889328,271.4895329475403,256.0362436771393,271.52242970466614,255.93036484718323;265.1968855857849,271.5243158340454,255.93036794662476;262.1989622116089,271.48653864860535
290.31401896476746,299.5874648094177,280.8704617023468;290.1036288738251,299.5868589878082,280.93922305107117;290.25016474723816,299.52632880210876,280.9392261505127;290.2644839286804,296.5790123939514,280.83347845077515;290.15702080726624,296.58015489578247,281.06336545944214,296.5206320285797
321.2552216053009,330.5929753780365,311.97247767448425,327.58567571640015,311.94563937187195;318.1778075695038,330.592387676239,308.93565344810486;321.20490646362305,327.5848379135132,308.9031662940979;318.1778109073639,327.58649826049805,305.8999800682068;318.1416702270508,327.5840754508972
349.2393219470978,355.50023674964905,336.868364572525;349.1720733642578,355.43954825401306,339.85582184791565;349.14890336990356,355.499160528183,339.9951786994934;349.18692779541016,352.49749183654785,339.9722695350647;346.1891198158264,355.5000467300415,340.1109359264374,355.49820375442505
374.3313717842102,380.6325523853302,364.93504881858826;374.21097922325134,380.5394694805145,364.9747428894043;374.2777874469757,380.61814761161804,364.97473978996277;374.2814781665802,380.62678146362305,365.07115411758423,380.6319797039032,361.91603422164917;374.258243560791,380.62235045433044
399.4398703575134,408.71522426605225,390.02840399742126;399.3481357097626,405.7068347930908,392.8942439556122,408.7146713733673,389.92545533180237;399.303986787796,405.64956974983215,390.085079908371;399.38060212135315,408.6585171222687,390.0850830078125;399.36702942848206,405.7059555053711
427.57042121887207,436.84326434135437,418.27242493629456,433.8363461494446,418.18175530433655;427.51821184158325,436.8426036834717,418.11839294433594;427.4255094528198,433.8345248699188,418.1817584037781;424.5057373046875,433.83557176589966,415.1216733455658;427.4130003452301,433.7627363204956
455.46452808380127,464.74082255363464,446.10629320144653;455.3823263645172,461.73203682899475,446.1101098060608;452.3833055496216,461.77342438697815,446.2398843765259;455.41446709632874,461.76942920684814,446.2665858268738,464.74022102355957,446.23988938331604;452.4268913269043,461.7713963985443
483.41307854652405,492.6695566177368,474.0994622707367;483.3633327484131,489.6232736110687,474.032856464386;483.34805488586426,489.661568403244,474.09946489334106;483.3480474948883,489.6242048740387,474.1866157054901,492.66936111450195,474.02906012535095;483.2998352050781,489.6625392436981
511.36204528808594,520.5962584018707,502.0747094154358;511.31172823905945,517.6451735496521,502.1064007282257,517.6441991329193,501.90522599220276;511.1474335193634,517.6432120800018,499.0525290966034;511.07147550582886,517.5862975120544,502.0516686439514;508.2854628562927,520.5956704616547
542.455887556076,548.7439489364624,530.1559369564056,545.7227005958557,530.0463955402374;539.3690450191498,548.7436640262604,530.0159201622009;542.3362073898315,548.7369997501373,530.046392917633;542.3963923454285,548.7319872379303,530.0159163475037;539.4032878875732,548.7409100532532
567.5059864521027,576.8087968826294,558.2700262069702,576.8033838272095,558.1611754894257;567.4226543903351,573.7976694107056,555.0778231620789;567.3912765979767,573.7997124195099,558.1611728668213;567.4523305892944,573.7986824512482,558.0892190933228;567.4558579921722,576.8082282543182
598.522266626358,607.802892446518,589.2908360958099;595.4758508205414,607.8023064136505,589.313688993454,607.7384929656982,586.277405500412;595.5260286331177,604.7881367206573,586.3163845539093;598.4705703258514,607.7948017120361,586.2900443077087;595.5260255336761,604.7310028076172
626.646232843399,632.9050538539886,614.1544909477234;626.3477637767792,632.8819034099579,617.2313692569733;626.5957088470459,632.9045166969299,617.160667181015;626.4264626502991,632.8335604667664,617.3357152938843,632.9002957344055,617.2313661575317;626.579484462738,632.8961634635925
