server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
18.838538646697998,25.117693424224854,9.530925989151001,22.109264135360718,9.32612419128418;18.785276412963867,25.1136372089386,6.428441762924194;18.73139452934265,25.117036819458008,9.530922412872314,25.05635714530945,9.472946643829346;18.785271406173706,25.09966731071472
43.79044198989868,50.16020178794861,34.50542712211609,50.15014433860779,34.434953689575195;43.73973083496094,50.075828075408936,34.419217586517334;43.68252229690552,47.0503032207489,34.481369495391846,50.15958786010742,31.435774564743042;43.73972749710083,50.15502142906189
68.8972635269165,75.19874858856201,59.60895895957947,75.15920400619507,59.566853284835815;68.79558110237122,75.19817996025085,59.562522649765015;68.84749341011047,75.19375514984131,59.49426031112671;68.84749674797058,75.15661001205444,59.608962297439575,75.1579372882843
93.90337228775024,103.20058059692383,84.58029794692993,103.20039129257202,84.46681094169617;90.79847550392151,100.19207501411438,84.58030152320862,103.19882011413574,84.5186665058136;93.8499321937561,103.19647431373596,81.5582320690155;93.84648203849792,100.19076204299927
121.95403409004211,128.27898025512695,112.55330443382263;121.89265394210815,128.27442145347595,112.5892276763916;121.89264917373657,128.26673340797424,112.62702369689941,128.2705295085907,112.50761699676514;121.83852052688599,128.27799940109253,112.62702751159668,128.2654323577881
147.0284571647644,153.36873722076416,140.5830054283142,153.3553807735443,137.61606645584106;146.97625994682312,153.24476146697998,137.64234232902527;146.9722592830658,153.36826610565186,137.55047273635864;143.94089651107788,153.36477541923523,137.68345952033997,153.36084604263306
172.1604232788086,178.48334169387817,162.74031972885132,178.47595620155334,159.71240067481995;172.10624766349792,178.4548900127411,162.74031710624695,178.48055624961853,162.68644452095032;172.0695869922638,178.4829933643341,159.70366311073303;172.10625052452087,178.47836112976074
197.2998857498169,206.65565371513367,187.9859209060669;197.24927425384521,206.65283370018005,187.94350147247314;197.1950626373291,203.6029496192932,188.0360541343689,206.65502858161926,188.036057472229,203.64521598815918,187.93827724456787;197.24927735328674,203.64712953567505
225.43547320365906,231.7436089515686,216.12748837471008,231.74317121505737,216.1274917125702,228.73197197914124,216.04190874099731;222.37067103385925,231.72512245178223,216.067524433136;225.3852984905243,231.7241072654724,216.01824235916138;225.37370657920837,231.7383873462677
250.63208842277527,256.9632248878479,241.27154088020325,256.9420609474182,241.23061275482178;250.571270942688,256.94741702079773,241.23060965538025;250.57126784324646,256.95236921310425,241.27153754234314,256.95858502388,241.06644797325134;250.53818464279175,256.9627344608307
