server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
21.71553659439087,30.99826431274414,9.432105302810669;21.66548252105713,27.99284839630127,12.525333881378174,27.991960763931274,12.508896112442017,30.998067378997803,12.352720499038696;18.62876009941101,30.99735927581787,9.464344501495361;21.64795994758606,27.954882860183716
49.786067485809326,59.046571254730225,40.31870102882385;46.64455008506775,56.112245321273804,40.46961760520935,56.073463916778564,37.375956773757935;49.73352932929993,56.11069059371948,40.41665077209473;49.73701310157776,56.111552476882935,40.469614028930664,59.04592514038086
77.77507901191711,84.06703925132751,68.46452808380127,81.0036141872406,68.33560109138489;77.72611975669861,84.00182342529297,68.40047025680542;77.67783713340759,84.06687021255493,68.46452498435974,84.06515097618103,65.39374685287476;77.72612309455872,84.06606912612915
102.79324126243591,109.09295606613159,93.4524941444397;102.74301815032959,109.09274935722351,93.50242972373962,109.09003496170044,90.45562267303467;99.72864818572998,109.09101295471191,93.50242710113525,109.0919349193573,90.46099591255188;102.72943806648254,109.00577878952026
127.81462478637695,137.07031559944153,118.40565490722656;127.75351524353027,134.06726455688477,118.44840097427368;127.73519730567932,137.07014799118042,118.50748467445374,134.00843691825867,118.5074872970581,134.06644225120544,118.34889316558838;124.69665956497192,134.06818318367004
155.7631378173828,165.03129959106445,146.3331618309021;155.6567234992981,165.031108379364,143.3876805305481;155.7129635810852,165.03022050857544,146.52192497253418,161.95509934425354,143.3299205303192;155.7129602432251,162.02961587905884,146.53538298606873,162.03045463562012
183.79188919067383,193.002681016922,174.45645904541016;183.74226760864258,190.05528140068054,174.50677013397217,193.00207662582397,174.45646500587463;183.74227094650269,190.05326080322266,174.50676703453064,190.0542130470276,171.4019055366516;183.6798255443573,189.9965603351593
211.68509125709534,220.9819507598877,202.44480991363525,220.97189283370972,202.37390756607056;208.72307801246643,220.97661519050598,202.31519508361816;208.6794948577881,220.98134803771973,202.4448070526123,220.91220378875732,199.3207037448883;211.6345465183258,217.90754008293152
239.6739902496338,248.965505361557,230.33370900154114;239.56881594657898,248.9652500152588,227.31966829299927;239.6245653629303,248.96302914619446,230.38883304595947,245.96027302742004,230.38882970809937,245.95909309387207,227.26089215278625;239.6245687007904,245.9613437652588
267.7438449859619,274.04800748825073,258.3448579311371;267.6263039112091,274.0474171638489,255.28082132339478;267.6858329772949,274.0363745689392,258.4153690338135,271.03068828582764,258.3493163585663;267.6858296394348,274.0431706905365,258.4153723716736,274.03742504119873
