server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
160.16944289207458,184.4941234588623,120.59519410133362;132.84216570854187;148.00155115127563,169.47019219398499,120.49309968948364;132.6869671344757;147.94581532478333,169.475421667099,147.69631028175354,184.49262166023254,120.5431981086731;132.76060223579407;141.95961594581604;160.1133382320404,169.46429538726807,120.65979743003845;132.86159539222717;148.07024717330933,169.47335815429688
230.39441657066345,254.63685584068298,199.85648798942566;211.96778631210327;224.10385656356812,236.6134955883026,196.88924717903137;212.076593875885;224.21031880378723,245.6850299835205,223.9493441581726,254.6355686187744,193.8501398563385;206.01295924186707;218.18996906280518;227.3721342086792,239.68038845062256,196.8738033771515;209.04062867164612;218.17604231834412;230.33561515808105,236.61201405525208
294.33029794692993,318.63616967201233,267.0968315601349;279.2549202442169;291.40283846855164,303.55449748039246,270.0463693141937;282.1572859287262;294.27534437179565,303.5704915523529,287.9748272895813,318.63521790504456,266.90552258491516;276.14283871650696;288.2659418582916,303.5714821815491,267.0141444206238;279.2329149246216;288.3964579105377,303.6187312602997
364.47860193252563,388.726318359375,331.07632184028625;343.2243387699127;355.4063630104065,370.70504093170166,331.055216550827;352.2511615753174;361.37728214263916,373.69724130630493,354.92589354515076,388.72510266304016,327.8860306739807;340.0745553970337;349.28789925575256;364.42661571502686,370.6839621067047,327.99134397506714;346.15615224838257;355.33104968070984,373.69292545318604
434.55342292785645,455.8372633457184,404.0414390563965;416.1523313522339;428.26259207725525,443.885769367218,401.0477104187012;413.2346134185791;425.40282940864563,443.8803958892822,425.15865325927734,455.8361065387726,400.9565680027008;413.1500549316406;422.3555545806885;434.48807859420776,440.8758006095886,398.02936244010925;410.1500551700592;419.2654159069061;431.4074330329895,440.81538820266724
501.79087138175964,526.1149044036865,468.1698558330536;480.3640465736389;492.53246784210205,508.0930013656616,465.0899450778961;477.26414918899536;486.38361382484436;498.49313855171204,511.06672263145447,492.2143666744232,526.1140158176422,468.31012654304504;480.4517319202423;489.6123344898224;501.7343416213989,508.0304596424103,468.2405300140381;480.4330565929413;489.56303787231445;501.7060935497284,508.0943434238434
571.9675352573395,590.2296469211578,541.3343369960785;553.4551770687103;565.5856623649597,581.2445487976074,541.4346086978912;553.5498414039612;565.6600086688995,581.2436966896057,565.4540753364563,590.2283647060394,538.4304203987122;550.5817260742188;559.7573504447937;571.9004919528961,578.2450523376465,538.4639387130737;550.6533362865448;559.7791244983673;571.9128699302673,584.2499084472656
636.2246282100677,660.5183191299438,602.726377248764;614.9340269565582;627.0808780193329,645.4391343593597,602.6669898033142;614.949469089508;627.0951411724091,645.5021045207977,626.6525049209595,660.5175311565399,602.633992433548;614.8482117652893;624.0498850345612;636.1692636013031,642.4942185878754,599.6114823818207;611.7513132095337;620.9670579433441;633.1107895374298,642.4357614517212
706.5286512374878,730.8679931163788,672.9983582496643;688.1840744018555;700.4258680343628,712.8499038219452,673.0498580932617;685.1790764331818;700.4294121265411,715.8571276664734,699.9921138286591,730.8667511940002,672.8696591854095;682.0795710086823;694.2886579036713;706.476720571518,712.852382183075,672.8845512866974;682.144912481308;694.3771169185638;703.4923105239868,715.8622648715973
773.667032957077,797.9818994998932,746.1420452594757;758.2628965377808;770.3711078166962,779.9614677429199,743.125590801239;755.2689712047577;767.4170117378235,782.9603905677795,767.2734439373016,797.9806146621704,743.2203822135925;755.3866448402405;767.5091321468353,779.9604241847992,740.1819417476654;752.3376340866089;764.4794037342072;773.6028220653534,782.8893351554871
843.9558117389679,871.2359848022461,810.4098179340363;825.7256262302399;837.8701975345612,850.2189145088196,810.4766838550568;822.6802785396576;837.8462574481964,871.2347979545593,837.4387090206146,868.2291758060455,810.3137300014496;822.5008237361908;831.6587064266205;843.8812639713287,850.2242314815521,810.3839952945709;822.5765070915222;831.7571704387665;843.900443315506,853.207644701004
920.388658285141,938.8303129673004,883.7239549160004;895.9802117347717;908.1911730766296;920.3376958370209,929.8140137195587,883.6361520290375;895.8741176128387;911.009467124939,929.6853075027466,910.6704754829407,938.8288443088531,883.6637496948242;895.9596989154816;908.1219213008881;917.3007664680481,929.6907534599304,883.5367212295532;895.7194907665253;907.8090794086456;919.9074516296387,926.8053512573242
999.6805226802826,1020.9558691978455,951.0928797721863;963.2809464931488;975.5004301071167;999.6258366107941,1008.9773030281067,951.1929795742035;966.3502473831177;978.4596915245056;987.5755898952484,1009.0011758804321,981.1764917373657,1020.9543766975403,951.0681383609772;963.259928226471;975.4299650192261;984.5758671760559,1008.9419012069702,951.2128374576569;963.3660588264465;972.4725956916809;984.5914328098297,1008.9951992034912
1069.866819858551,1103.2134611606598,1033.366923570633;1048.6374282836914;1060.780472278595,1076.1243937015533,1033.2738041877747;1045.5181865692139;1057.6757080554962;1069.8127403259277,1079.1279850006104,1060.2867486476898,1103.2125916481018,1033.3484070301056;1042.5044813156128;1054.6536450386047;1066.8293552398682,1082.201116323471,1030.2737929821014;1042.4329640865326;1054.589816570282;1066.8115496635437,1079.19424533844
1152.2781827449799,1176.5890135765076,1115.6355156898499;1127.8038349151611;1140.002648115158;1152.1975846290588,1158.531456232071,1133.5854041576385;1142.6699120998383,1161.576328277588,1142.5790445804596,1176.5877590179443,1115.6059103012085;1127.781272649765;1139.9391651153564;1152.213320016861,1161.485806941986,1115.5512609481812;1124.7249567508698;1136.8324925899506;1148.9675335884094,1161.58105635643
1222.447990655899,1243.748303413391,1188.9157495498657;1204.1088523864746;1216.2292239665985,1231.7351639270782,1188.9666650295258;1204.1992301940918;1216.3387989997864,1231.7388846874237,1212.9553282260895,1243.7471044063568,1188.8722882270813;1201.0806856155396;1213.2309455871582,1228.7369797229767,1189.0023047924042;1201.1817717552185;1210.2852306365967;1222.3947830200195,1228.735831975937
1292.5817728042603,1313.971787929535,1256.1814904212952;1268.4161598682404;1283.5393855571747,1298.9489164352417,1256.0154373645782;1268.214397907257;1280.4264178276062;1292.5296943187714,1301.7698209285736,1283.1313982009888,1313.9705533981323,1256.1258845329285;1268.3524522781372;1277.5167162418365;1289.6950235366821,1301.9524035453796,1256.0740911960602;1268.2814943790436;1277.4965879917145;1289.6682093143463,1301.9550368785858
1356.7261517047882,1378.0160315036774,1326.2148838043213;1341.382316827774;1353.4972681999207,1365.9346160888672,1329.3062489032745;1341.4714694023132;1353.5927996635437,1365.996132850647,1347.3263301849365,1378.014791727066,1323.2714862823486;1335.4015789031982;1344.5382056236267;1356.6724152565002,1362.9883601665497,1326.2856481075287;1338.4183802604675;1347.5684814453125,1365.9356853961945
1420.838650226593,1442.14320063591,1393.3502790927887;1405.4811758995056;1417.6157624721527,1430.1208682060242,1393.3727571964264;1405.5340073108673;1417.6437993049622,1433.1273639202118,1411.4131095409393,1442.141960144043,1390.3910460472107;1402.543107509613;1411.6869411468506,1430.1186361312866,1387.364273071289;1399.5106799602509;1408.645426750183;1420.7820219993591,1427.1155142784119
1488.0892090797424,1506.4275414943695,1454.5435979366302;1466.7010409832;1481.8698990345001,1497.4076964855194,1454.553810119629;1469.6985280513763;1481.8525519371033,1494.4013347625732,1478.5095779895782,1506.4263789653778,1451.4989664554596;1463.6703162193298;1475.8931143283844;1488.0274090766907,1497.414629459381,1454.4326541423798;1463.5742769241333;1475.8235964775085;1484.9867315292358,1497.4116134643555
1549.2933511734009,1570.5487496852875,1518.8635997772217;1533.9972214698792;1546.1860148906708,1558.533581495285,1518.8191196918488;1533.9741530418396;1543.1357975006104,1558.5376000404358,1542.8288559913635,1570.547471523285,1515.780624628067;1527.9163706302643;1540.0905301570892;1549.2425286769867,1558.5354962348938,1515.7055578231812;1527.894703388214;1540.0696511268616;1549.2315967082977,1558.4795625209808
1616.4516277313232,1634.7434301376343,1588.8993463516235;1601.006352186203;1610.10551404953,1625.7288539409637,1586.1113030910492;1595.283406496048;1607.4382441043854,1625.6648271083832,1603.9372897148132,1634.7422277927399,1580.0774507522583;1595.209398508072;1616.3926208019257,1622.7264609336853,1586.132660150528;1595.3476612567902;1607.4645385742188,1625.6637892723083
