server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
172.10409498214722,193.41942858695984,141.60932183265686;153.7190330028534;165.83958220481873,181.36148285865784,132.6051890850067;144.7454195022583;156.8702244758606;172.0517406463623,181.40851616859436,162.65261793136597,193.41800332069397,135.6242265701294;147.7670385837555;159.89717411994934;172.04264616966248,181.328058719635,138.64186239242554;159.75486946105957;171.87056589126587,181.40556812286377
239.39777612686157,260.7273283004761,205.83024096488953;218.01394844055176;239.21689987182617,248.70837569236755,205.9211769104004;218.08788013458252;227.2175531387329;239.3412697315216,248.67859745025635,229.93193125724792,260.72617053985596,205.90314531326294;221.08469605445862;233.20633602142334,248.65482139587402,202.72921323776245;214.93464970588684;227.0507640838623;236.1647505760193,248.71086382865906
300.46433305740356,321.6948866844177,273.1231143474579;288.2456319332123;300.3915112018585,309.6796441078186,273.04611897468567;285.21423745155334;297.34319496154785,312.73413729667664,294.1790118217468,321.6939651966095,282.0467035770416;294.18246698379517,309.6814036369324,270.1004087924957;282.2373242378235;294.36644077301025,306.72475385665894
364.5514302253723,388.85714507102966,336.94027733802795;349.07841205596924;358.21198177337646,373.85064029693604,331.016818523407;343.17184615135193;352.35344219207764;364.4974915981293,373.83265113830566,354.9482250213623,388.8559715747833,334.04099225997925;343.24212312698364;355.38372349739075,373.8443739414215,343.06812477111816;352.27278089523315;364.48233580589294,373.8393383026123
431.7216885089874,446.9843645095825,404.2251124382019;416.42892026901245;428.6372649669647,441.0349154472351,404.2415759563446;416.4967141151428;431.6582522392273,444.0188219547272,422.18193650245667,446.98323488235474,398.1756024360657;410.3232624530792;422.5219225883484,440.99607586860657,401.19958209991455;413.3433766365051;425.4591965675354,441.03571248054504
492.96556329727173,520.2812824249268,459.35470843315125;474.66023564338684;486.8690903186798,502.2723889350891,459.4446396827698;471.63072991371155;486.83105993270874,502.2663342952728,486.4048385620117,520.280348777771,459.46478748321533;477.67406725883484;489.83788895606995,502.2199261188507,459.2729675769806;471.5508952140808;483.7547998428345;492.9143304824829,502.2587640285492
569.546626329422,584.8088433742523,532.947185754776;548.2081882953644;557.3609414100647;569.4950897693634,581.7517468929291,533.0034778118134;548.2343175411224;560.3958423137665,578.7954843044281,559.7508420944214,584.8077142238617,532.8227150440216;545.0322937965393;554.2330274581909;566.4041175842285,578.796466588974,532.8870794773102;545.1210823059082;560.3244256973267,575.7978575229645
633.7175977230072,655.0510339736938,597.2641625404358;609.4303188323975;624.5714683532715,643.029949426651,597.1429433822632;612.3697893619537;624.5391666889191,646.0328521728516,624.1846566200256,655.0502333641052,594.1332573890686;606.2868266105652;618.4583759307861;630.590164899826,648.9441854953766,597.2044212818146;612.4345889091492;621.5521867275238;633.6619770526886,649.0427942276001
701.0777468681335,719.2814936637878,667.4954373836517;679.6585700511932;694.7709770202637,710.3641445636749,667.3243145942688;682.4514093399048;694.5884156227112,710.3596506118774,691.5439593791962,719.2801768779755,667.4725270271301;676.6309323310852;688.8819906711578;701.0275790691376,707.3484325408936,664.4598989486694;676.6087560653687;688.7946388721466;697.9753203392029,710.3533773422241
768.2770292758942,786.5956265926361,734.6174268722534;746.8078525066376;758.977783203125;768.1357944011688,780.5890543460846,731.6114933490753;746.9132804870605;762.1008157730103,777.5773327350616,761.66774559021,786.5944571495056,737.6374759674072;746.8847599029541;759.0897784233093;768.2089912891388,777.5716814994812,731.6411898136139;743.8097445964813;752.9818043708801;765.1182901859283,774.5670726299286
