server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
132.74814987182617,145.06747341156006,117.4762933254242;132.6918079853058,142.0579125881195,117.5886857509613;129.79534435272217,145.06599521636963,117.56188106536865;129.73223400115967,139.05483770370483,120.61185216903687,142.05903005599976,117.65243983268738;126.82634663581848,142.0598223209381
169.70558142662048,188.01495885849,157.45356488227844;169.62267971038818,188.01372170448303,154.40224075317383;166.56359219551086,179.00033950805664,160.43875288963318,178.99928760528564,157.4693055152893;169.65020275115967,175.94954919815063,157.39107704162598;169.55575513839722,179.0012640953064
215.62554907798767,224.92096972465515,200.3020942211151;212.47336864471436,224.85630249977112,197.39164900779724;215.54137659072876,224.8588035106659,200.4341447353363;215.5738501548767,224.91308307647705,203.43487429618835,224.9197018146515,200.33991146087646;212.54231309890747,221.9130663871765
252.58207368850708,261.8427917957306,237.2248821258545;252.4442162513733,261.77559447288513,237.40495586395264;249.55264258384705,261.8345859050751,237.33780217170715;252.53183460235596,261.7806794643402,237.31519556045532;249.4799406528473,261.8390667438507,237.4580647945404,261.8418560028076
289.5965666770935,298.9413311481476,274.3365044593811;286.4886393547058,298.8485586643219,274.3719627857208;289.52434253692627,295.932555437088,274.23192620277405;286.440851688385,298.94016194343567,274.4152081012726,298.8533673286438,274.2504925727844;286.46008682250977,298.93451952934265
326.5894124507904,335.91815519332886,311.3427662849426;323.53412652015686,335.8330109119415,314.4257538318634,335.91603922843933,314.3292384147644;326.5016117095947,335.9132513999939,314.40637969970703;326.53646516799927,335.91476702690125,311.3197183609009;326.5173192024231,335.91726899147034
363.6143879890442,375.93531489372253,345.2221360206604;357.3513011932373,375.9344630241394,351.34643054008484,369.9356586933136,348.34922528266907;363.5254817008972,369.9370639324188,348.36907386779785;363.55724453926086,372.93844532966614,348.254177570343;357.39799666404724,372.93935203552246
400.43740129470825,409.73783445358276,385.27778482437134;397.4572606086731,409.71141266822815,388.1651077270508;400.37239599227905,409.7366054058075,388.2702748775482;400.38725185394287,409.73117327690125,391.24915599823,409.7175736427307,385.2622780799866;397.4296100139618,406.70661211013794
434.3650412559509,446.7049512863159,422.0149185657501;431.1597213745117,443.6980037689209,425.1653904914856;434.3132495880127,443.7164762020111,425.0655052661896;434.20942783355713,443.6989505290985,425.1808068752289,446.70373034477234,422.1409013271332;434.29856157302856,443.6969928741455
480.4976828098297,489.8313171863556,462.2243242263794,489.7480592727661,459.25437355041504;480.4331967830658,489.824991941452,459.08486890792847;471.2851948738098,489.83015418052673,459.1053378582001;471.34972953796387,489.81382989883423,459.19037675857544;471.39345812797546,489.8206067085266
514.5207417011261,523.8163950443268,505.1972453594208,523.7465271949768,502.32751417160034;511.45776891708374,523.8151829242706,502.258029460907;514.4666357040405,523.8085377216339,502.172824382782;514.4666411876678,520.7947161197662,499.1882977485657;511.36629343032837,523.81019115448
551.5234243869781,560.8564302921295,536.2377607822418;551.464720249176,560.8552901744843,536.1190564632416;551.2713468074799,560.8510112762451,533.1470241546631;548.3180282115936,560.8445365428925,539.1828651428223,560.8072452545166,536.2145369052887;548.4317274093628,560.8125834465027
585.5105493068695,594.7736208438873,573.1291887760162;585.2987163066864,591.728262424469,573.2690258026123;585.4599795341492,594.7349846363068,576.2521970272064,591.7271301746368,573.2398555278778;585.4321253299713,594.7724440097809,570.225287437439;582.4009566307068,591.7639298439026
619.5585870742798,628.9040687084198,610.0833930969238,628.8978226184845,607.1246807575226;619.3419766426086,625.7925374507904,607.2552936077118;619.4868006706238,628.9027168750763,607.317218542099;619.5040285587311,625.8918960094452,607.1826221942902;619.414820432663,625.8948729038239
