server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
153.89023900032043,163.22319555282593,138.47746872901917;153.66565370559692,163.14226508140564,138.63093781471252;153.83392596244812,163.14085578918457,141.63220596313477,163.2217152118683,138.57956433296204;150.77676486968994,160.20775389671326,138.6928412914276;150.86232829093933,163.21574687957764
190.82238864898682,200.08954048156738,175.58748292922974;190.7663116455078,200.0565469264984,178.53648233413696;190.71835160255432,200.0824179649353,178.60154366493225;190.75125813484192,200.05404829978943,178.63216710090637,200.0879669189453,175.536523103714;187.72308993339539,197.0856876373291
224.71494960784912,233.9760684967041,212.426362991333;224.60218811035156,233.96505904197693,212.33091163635254;224.4345464706421,233.97488236427307,212.5236279964447;224.6592128276825,233.93721890449524,212.50283479690552;224.64225482940674,233.94291734695435,212.57079911231995,230.96729469299316
261.6516156196594,270.93450570106506,249.46280717849731;261.59366512298584,270.862247467041,249.2871835231781;261.4959864616394,270.93340611457825,249.36549711227417;261.55717420578003,270.9234368801117,249.41465067863464;261.578364610672,270.9284496307373,249.50330257415771,267.91819739341736
298.6009819507599,310.9216363430023,283.22859954833984;295.3931245803833,307.84194016456604,283.4239754676819,307.83805775642395,283.3238205909729;298.4984495639801,304.8412353992462,283.37323355674744;298.54002022743225,310.9204845428467,283.2491788864136;295.4471354484558,304.8826746940613
335.643611907959,344.91975235939026,326.3484060764313,344.8807623386383,323.3926463127136;335.58503317832947,344.9139771461487,323.3031961917877;335.55128622055054,344.87577199935913,323.3419499397278;335.5325472354889,341.89695286750793,323.44088196754456;332.6135096549988,344.91860938072205
372.5087676048279,381.82509684562683,360.32549810409546;369.4974434375763,381.8183777332306,360.3490250110626,378.8142249584198,357.3005590438843;372.4558048248291,378.8151762485504,360.25376081466675;372.4524049758911,381.82397198677063,354.3042047023773;366.45093059539795,381.7411868572235
409.4731340408325,418.78969860076904,394.1695384979248;406.3689112663269,415.77070140838623,394.2521550655365;409.4187059402466,418.78836131095886,394.088237285614;406.346467256546,418.77730441093445,394.33275985717773,418.78394651412964,394.289776802063;406.4333109855652,415.6721611022949
446.39705657958984,455.7015769481659,434.2634496688843,452.6276316642761,431.1780049800873;443.34520530700684,455.68891406059265,434.1991684436798;446.3415644168854,452.68324732780457,431.05508971214294;443.2877309322357,455.6948688030243,431.15506196022034;440.3206539154053,455.7004187107086
483.36504650115967,492.65686869621277,468.120178937912;483.30272793769836,489.64491152763367,467.94310331344604;480.1424129009247,492.55326223373413,470.97535943984985,492.65106439590454,468.0917408466339;480.2608871459961,489.6463739871979,468.0171296596527;477.24725914001465,492.65572786331177
520.4535758495331,529.728643655777,505.2486729621887,529.6826055049896,505.0651743412018;514.2798509597778,529.7274796962738,505.0284707546234;517.2278633117676,529.721937417984,505.1971709728241;520.3970448970795,526.6751642227173,505.14182686805725;517.3218040466309,529.7165932655334
554.2893059253693,563.620397567749,545.059056520462;554.2004482746124,563.6194353103638,545.0805053710938,563.6166579723358,541.9549374580383;554.1133258342743,563.5590720176697,542.0518686771393;554.2221548557281,563.6130006313324,539.0334551334381;551.1897931098938,560.6074995994568
591.1099889278412,600.3806219100952,575.9569847583771;588.1211078166962,597.3371593952179,578.92715716362;591.0504877567291,600.3795163631439,576.0329167842865;588.2920498847961,600.3351550102234,578.980756521225,597.326737165451,575.9750950336456;588.231764793396,600.3740682601929
627.9368708133698,637.2378985881805,615.7709248065948,637.2326312065125,612.7107694149017;624.8341083526611,637.2367932796478,615.6784415245056;627.8416261672974,637.1903164386749,615.6957113742828;627.8835189342499,637.2276601791382,609.7081336975098;621.8695693016052,634.1815733909607
