server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
142.03085708618164,151.38613367080688,129.72268271446228,151.37974882125854,129.64673781394958;138.95287418365479,151.3845956325531,129.62858176231384;141.97871160507202,151.343346118927,129.72268533706665,151.37335801124573,126.50432205200195;141.9631757736206,148.36560368537903
176.16340279579163,185.53215909004211,163.81581568717957;176.03006100654602,185.5309715270996,163.86850953102112,185.51470112800598,163.868506193161,185.50214862823486,163.81256937980652;176.10862493515015,185.50695633888245,163.79231214523315;173.0769603252411,185.5262680053711
213.27538204193115,222.56574296951294,198.00563097000122,222.52951502799988,197.93433809280396;207.21384286880493,222.55990862846375,197.93120217323303;210.2638771533966,222.53085041046143,197.96936750411987;213.21859574317932,222.56459212303162,206.96649765968323,219.51508355140686
247.24132251739502,256.4863591194153,234.95317554473877,256.4528183937073,234.8462164402008;247.1465244293213,256.47499561309814,237.92027831077576,253.47926664352417,234.91553115844727;247.18132257461548,256.4851567745209,234.86429500579834;244.16314578056335,256.4472954273224
281.1536285877228,290.450541973114,268.87634015083313,287.3784091472626,268.74007511138916;281.0757462978363,290.3983175754547,268.7301390171051;281.0233528614044,287.43840408325195,268.87633752822876,290.4445686340332,268.8223102092743;281.0877661705017,290.44939708709717
315.1404137611389,324.41875529289246,302.8854458332062,324.41207122802734,302.84541034698486;312.08882331848145,324.3703103065491,305.87798285484314,324.4176208972931,302.8491702079773;315.0534129142761,321.36768913269043,299.8217866420746;315.0913076400757,321.39616656303406
352.00047850608826,364.30670046806335,339.6852385997772;348.9499661922455,361.3011968135834,339.8411455154419,361.29732298851013,336.7529718875885;351.94566011428833,364.30548548698425,339.8456871509552,361.29286193847656,336.748042345047;348.95331358909607,361.2187559604645
389.00651836395264,398.28373193740845,376.68660712242126;388.95608472824097,398.28256702423096,376.627813577652;388.9428837299347,398.27817940711975,379.6914508342743,398.2727744579315,379.6732270717621,398.2633421421051,376.70130348205566;385.9664092063904,398.21112418174744
428.98462677001953,438.31468534469604,410.6062557697296;428.9126658439636,438.22746324539185,413.6744656562805;428.9297688007355,435.3141634464264,413.7270498275757,435.3151001930237,413.72704672813416,438.31394386291504,410.66394805908203;422.919540643692,438.3129975795746
463.1632194519043,472.47808623313904,450.84053564071655;460.08249163627625,472.4005868434906,450.8821575641632,472.47269797325134,450.8821609020233,472.47691893577576,450.79540038108826;463.0854687690735,472.40524792671204,447.7120862007141;463.1018531322479,472.46833515167236
