server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
132.88162302970886,142.21058654785156,117.48654747009277;129.8123903274536,142.20170545578003,117.5310468673706;132.8280303478241,142.20903515815735,120.54289078712463,142.19729828834534,117.59977293014526,142.20294070243835,117.5606472492218;126.77882146835327,142.19335651397705
169.99322175979614,179.35634779930115,154.59777092933655;169.93753290176392,179.35509371757507,154.65202736854553;169.94050097465515,176.34229707717896,157.62570786476135,179.26942682266235,154.58434557914734;166.8815233707428,179.3505358695984,154.68293404579163,179.27465844154358
210.07265830039978,219.3963484764099,191.75119018554688;210.01497840881348,216.3814296722412,194.63058352470398,219.39521265029907,191.7958869934082,219.38537192344666,191.74715733528137;201.05007600784302,219.3909273147583,191.71848011016846;201.01462841033936,219.38388752937317
244.08234405517578,253.38061618804932,234.76105546951294,250.3779170513153,231.67881393432617;244.02448725700378,253.37397956848145,231.7919659614563,250.36426448822021,231.67542123794556;244.0245382785797,253.31705522537231,231.75418901443481;244.0279884338379,253.3794720172882
278.1544532775879,287.4486126899719,265.7862877845764;278.08609533309937,287.41916394233704,265.749089717865;278.0902245044708,287.4474182128906,268.7883768081665,287.4253237247467,268.7761375904083,287.4244294166565,265.7899761199951;275.07240748405457,287.44296646118164
312.2014572620392,321.52989768981934,299.8167073726654;312.13136076927185,321.5191903114319,302.84326362609863,321.5287256240845,299.88803148269653,321.4325911998749,299.8500406742096;312.1505551338196,321.52425169944763,299.7666869163513;309.1152894496918,321.4383111000061
346.2120485305786,355.55170917510986,336.90475034713745,352.53751611709595,333.81498408317566;346.1547315120697,355.5449712276459,333.8759796619415;346.1578755378723,355.4460771083832,336.90790724754333,352.47958493232727,333.8904514312744;343.137423992157,355.55050134658813
380.39692091941833,389.76283049583435,368.0194163322449;380.3465805053711,389.75665283203125,368.0243980884552;380.3421356678009,389.74965953826904,371.0500907897949,386.6938371658325,370.99880266189575,389.7616262435913,364.98456931114197;380.3016800880432,386.7463026046753
414.47645831108093,423.80752635002136,402.1251378059387;414.3822762966156,423.7951579093933,402.1823706626892,423.80633544921875,402.11921405792236;414.4195725917816,423.7905068397522,405.0943555831909,423.78437995910645,402.15165734291077;414.42341709136963,423.8008780479431
448.5804533958435,457.8859951496124,436.1208438873291;448.51753544807434,457.83769035339355,439.2559869289398,457.8170659542084,436.15456318855286;445.48402428627014,457.8805887699127,436.29709553718567,457.88484168052673,436.26102900505066;445.5040204524994,457.87493419647217
482.5307276248932,491.8791720867157,473.23319911956787,491.8694763183594,470.2073223590851;482.4193391799927,488.8282833099365,470.15652227401733;482.47968649864197,491.81048011779785,470.1394431591034;482.4758505821228,491.87337589263916,470.2365152835846,491.8780369758606
516.5724835395813,525.8666970729828,504.21211791038513;516.5194022655487,525.8659343719482,507.2572247982025,525.8038346767426,507.29142117500305,525.8626124858856,504.2226333618164;516.4635453224182,525.8637738227844,504.25431656837463;513.4947843551636,525.8651020526886
550.5883004665375,559.8855230808258,538.2190549373627;547.528998374939,559.8698465824127,538.2986159324646,559.8793234825134,538.2638721466064;550.5318655967712,559.8772168159485,538.2986125946045,559.884307384491,538.1266808509827;547.5342874526978,559.8757207393646
587.5188839435577,596.7999033927917,575.2938108444214,596.7987229824066,575.1582133769989;584.4406402111053,596.735490322113,575.323632478714,593.7880773544312,572.2695515155792;587.4661133289337,596.7408955097198,572.2530961036682;584.4365348815918,596.7931201457977
621.5914998054504,630.918835401535,612.1815819740295,630.9103450775146,609.2669429779053,630.8274247646332,609.2414691448212;621.5108885765076,630.9175174236298,609.0727643966675;621.5243775844574,627.8972897529602,609.2048799991608;621.4784352779388,630.9055805206299
655.6428546905518,664.9216372966766,643.3250675201416,664.9201712608337,643.2538244724274;655.58722448349,664.8684666156769,643.2874779701233;655.5435581207275,661.8494772911072,646.2610845565796,664.9208278656006,640.2544748783112;655.5872285366058,664.918625831604
692.6779253482819,702.0644652843475,680.3699948787689;689.6722571849823,702.0544979572296,680.4568545818329,699.042317867279,680.3844771385193;689.6618278026581,702.0588164329529,680.4568574428558,702.0633161067963,674.265722990036;692.6248207092285,702.0483186244965
729.7535357475281,739.0384037494659,714.4772882461548;729.7019422054291,739.0303082466125,717.3807079792023;729.683217048645,738.9652345180511,717.5809619426727,739.0246267318726,717.618077993393,739.03724193573,711.4636077880859;729.6691484451294,738.9705898761749
763.9691412448883,773.2490174770355,751.6855137348175,773.1843826770782,751.3959419727325;763.9119076728821,773.1926732063293,751.6222603321075;763.9161686897278,773.2435557842255,751.6855165958405,773.2478845119476,751.4004647731781;760.837325334549,773.2412643432617
798.0213575363159,807.3576240539551,785.5095815658569;797.9532177448273,804.3420996665955,788.5927379131317,807.3490960597992,785.5612878799438;797.9439032077789,804.347781419754,785.6325345039368,807.3501536846161,785.6008489131927;794.9090859889984,807.356436252594
865.1599469184875,874.4593939781189,822.824422121048,871.4424960613251,822.7776029109955;865.0972929000854,874.4586334228516,822.8244190216064,871.4413650035858,822.7232253551483;835.0261220932007,874.4481918811798,819.6456866264343;832.053822517395,874.4543452262878
905.2711474895477,917.6132810115814,889.9592559337616;899.2013537883759,917.6124646663666,883.8978667259216;905.2138960361481,917.6110467910767,889.992858171463,911.607043504715,889.9928543567657,914.5954887866974,886.743394613266;902.1825542449951,914.6068773269653
945.3106687068939,954.5845835208893,929.9647312164307;942.3566880226135,954.4984247684479,930.0032699108124;939.3410403728485,954.5447010993958,932.9899282455444,951.571375131607,932.9093792438507,954.5834307670593,930.0032734870911;945.2561700344086,954.5770237445831
979.3227002620697,988.6036171913147,966.8969337940216;979.2613337039948,988.5971615314484,969.9166529178619,988.6024308204651,966.9243495464325;979.2445015907288,988.5357563495636,969.9201571941376,988.5409414768219,963.8479146957397;979.2699818611145,985.5911316871643
1013.4070937633514,1025.6918377876282,1000.8394327163696;1013.3096258640289,1019.5992255210876,1001.0245056152344;1013.3357355594635,1022.6934187412262,1001.0582370758057,1019.6829795837402,1003.9028420448303,1025.6906416416168,1000.9925122261047;1013.3389706611633,1022.6882998943329
1053.249041557312,1062.557455778122,1041.1204850673676,1062.5463614463806,1038.0242807865143;1053.1979608535767,1062.551179409027,1040.9289700984955;1050.2241308689117,1062.5333275794983,1040.983728170395,1062.5562889575958,1037.9982328414917;1050.2100405693054,1062.5402264595032
1087.3580813407898,1096.6236109733582,1074.906788110733;1087.302915096283,1096.5479369163513,1074.9832572937012,1096.5530171394348,1074.9832599163055,1093.6020698547363,1074.9373416900635;1087.2978072166443,1096.6224312782288,1074.9022781848907;1084.1602952480316,1096.6168735027313
1121.48344039917,1130.7371921539307,1105.9878458976746;1121.382647037506,1130.6850156784058,1112.0377283096313,1130.7361855506897,1109.0009784698486;1121.3717501163483,1130.732409954071,1109.038101196289,1130.7277989387512,1108.971265554428;1121.367431640625,1130.6767966747284
1158.5128374099731,1167.770355463028,1146.2286913394928,1167.7691667079926,1143.2211487293243,1167.7644617557526,1143.0433220863342;1158.4622719287872,1167.7047936916351,1143.0234968662262;1158.457512140274,1167.7005574703217,1143.184074163437;1152.396903038025,1167.7653663158417
1192.4874958992004,1201.7378981113434,1183.0916376113892,1201.6479544639587,1180.078125;1192.4233570098877,1201.66730427742,1180.0297315120697;1192.4046936035156,1201.7233250141144,1183.0744688510895,1201.7273066043854,1180.013634443283;1192.2752523422241,1201.736790895462
