server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
123.64203429222107,132.9368119239807,123.5812783241272,132.8677978515625,123.58127474784851,132.93182063102722,123.55426526069641,132.87151455879211,123.4141628742218,132.9355330467224,123.52060890197754,129.93062281608582
145.35289931297302,154.62598085403442,145.28438091278076,154.62477207183838,145.29785323143005,151.57485628128052,145.1914963722229,151.6153039932251,145.2405788898468,154.58156514167786,145.29041957855225,154.58722949028015
167.12058639526367,176.3961205482483,167.03081941604614,173.39277386665344,166.92484545707703,176.39535212516785,167.04258608818054,176.39455223083496,166.95821380615234,173.39169096946716,167.05876111984253,176.32591724395752
191.83065366744995,201.14489722251892,191.76800918579102,201.06849098205566,188.75303864479065,201.13896703720093,188.7615716457367,201.1437165737152,188.73072791099548,201.07360458374023,188.73464560508728,201.13311958312988
216.59905242919922,225.94330668449402,216.5120267868042,225.9371783733368,216.53545451164246,222.8470139503479,213.4827699661255,225.85560131072998,213.52590012550354,225.94209814071655,210.51385807991028,225.93144941329956
238.3741810321808,247.6608555316925,238.22775888442993,247.65078330039978,238.29600191116333,247.65510845184326,238.3089017868042,247.6596806049347,238.27367854118347,244.6453993320465,235.27711582183838,247.6519103050232
262.9236295223236,275.22317028045654,262.87104964256287,272.1228358745575,259.98790526390076,272.1964340209961,259.9467282295227,275.2223541736603,259.97553610801697,272.19528317451477,256.95737886428833,272.1972029209137
290.6444728374481,299.9142210483551,287.6197271347046,299.9130504131317,290.5725769996643,299.90765857696533,290.58574652671814,296.8768961429596,287.6044397354126,299.87110137939453,287.53513622283936,296.8963243961334
312.3922417163849,321.6901521682739,312.23111510276794,321.6091959476471,312.2741553783417,321.61490201950073,312.3359954357147,321.68901920318604,312.3062708377838,318.68104672431946,312.3326654434204,318.63374948501587
337.14059710502625,346.4825279712677,337.0754816532135,346.4694550037384,334.11623644828796,346.36935210227966,334.1201045513153,346.46545219421387,333.9965798854828,346.4813742637634,334.0745515823364,346.476047039032
361.97732281684875,371.2970633506775,361.92058801651,371.28082060813904,358.9034671783447,371.21712374687195,358.8913550376892,371.29114294052124,358.8566370010376,371.21139121055603,358.88744020462036,371.29592871665955
386.77559304237366,399.0378665924072,386.7043368816376,393.0004587173462,386.67344093322754,396.0353181362152,386.7189280986786,396.08226919174194,386.7003104686737,396.0770137310028,380.6845512390137,399.03671407699585
414.4545884132385,423.7718503475189,411.37327337265015,423.75977993011475,408.36450839042664,423.77039098739624,414.3095209598541,423.7579369544983,414.39582109451294,423.76589584350586,411.35733580589294,420.7543797492981
439.2082784175873,448.4825041294098,436.17546033859253,448.4760591983795,439.15369033813477,445.4694504737854,436.1458854675293,448.4201772212982,436.17921566963196,448.481317281723,436.0414078235626,448.44939661026
461.06190609931946,470.38959980010986,460.9320740699768,470.3811025619507,460.98589873313904,470.37525367736816,460.96954321861267,470.3346788883209,460.9557490348816,470.38534927368164,457.9416570663452,470.3886752128601
485.82220005989075,495.17875123023987,482.73790097236633,495.03932523727417,482.7699086666107,495.1672668457031,482.75522565841675,495.17271065711975,485.7676911354065,495.1775932312012,482.70426988601685,495.06311106681824
510.71054220199585,522.9900486469269,507.5596196651459,519.9932532310486,510.65267038345337,519.9885511398315,510.6100194454193,522.9889211654663,510.6526665687561,519.937216758728,507.5544352531433,516.9738824367523
538.4790887832642,547.7646944522858,538.3936722278595,544.7571175098419,538.3936774730682,547.6871981620789,538.407267332077,547.7635328769684,538.415534734726,544.7421336174011,535.3614416122437,544.7544476985931
563.2202231884003,572.5305364131927,563.1528856754303,569.4620027542114,563.1645431518555,572.5068428516388,563.152881860733,569.5232012271881,560.1414031982422,572.529390335083,560.1237471103668,572.5112104415894
587.8967270851135,597.1976451873779,584.9726872444153,597.1915221214294,584.9648804664612,594.1779842376709,587.8211171627045,597.1964774131775,584.8214011192322,597.1856298446655,584.9688401222229,597.1806581020355
612.7618901729584,622.0308406352997,609.5727241039276,621.9701156616211,612.705855846405,619.0176820755005,612.4974763393402,621.965026140213,609.6705181598663,622.0237712860107,606.5673162937164,622.0296866893768
637.5175340175629,646.7809202671051,634.4079568386078,646.7744405269623,637.4611165523529,646.7223687171936,637.3750257492065,646.7784492969513,634.4265356063843,646.7800633907318,634.3409602642059,643.7782280445099
662.1549565792084,671.4376347064972,662.1007800102234,668.4306750297546,659.0386250019073,671.4361634254456,662.1007840633392,671.4091322422028,662.0401618480682,668.3693687915802,659.0586929321289,668.4263501167297
686.8804311752319,696.2161273956299,683.7697312831879,696.1466898918152,683.6960368156433,696.1785445213318,683.7514216899872,693.2036616802216,686.8290071487427,696.2153809070587,683.7270021438599,696.2088129520416
711.5671651363373,720.8547918796539,708.6326041221619,720.8437993526459,708.4913966655731,717.8321588039398,711.4957854747772,720.8535766601562,708.5599093437195,720.8379366397858,705.5537579059601,720.8499920368195
733.2733726501465,742.5554354190826,733.1935279369354,742.541118144989,733.1895041465759,742.4836270809174,733.2229919433594,742.4775757789612,733.1557824611664,742.5485773086548,733.2189781665802,742.5532786846161
758.0666079521179,767.3731961250305,755.000239610672,764.3608989715576,754.9851288795471,767.2890236377716,757.9836311340332,764.2837147712708,758.0073473453522,767.3666620254517,754.8457734584808,767.3720531463623
779.8681607246399,789.126608133316,779.8137183189392,789.1258671283722,779.7874655723572,786.1235024929047,779.8103232383728,789.0558974742889,779.7965924739838,786.06756067276,779.8067202568054,786.1224315166473
801.7446391582489,811.0284945964813,801.6744022369385,808.0090868473053,801.684901714325,810.9675490856171,801.6813733577728,811.0220537185669,801.6779780387878,811.0271608829498,801.688806772232,807.9575781822205
823.4413020610809,832.7390580177307,823.3459007740021,832.7328338623047,823.3727025985718,832.6518943309784,823.3586981296539,832.7379145622253,823.3115677833557,832.7264060974121,823.314849615097,829.7189817428589
845.2876000404358,854.593329668045,845.2335021495819,854.5814666748047,845.2028846740723,854.5921449661255,845.0476551055908,854.5863978862762,845.1764533519745,851.5741198062897,845.2302534580231,851.5730545520782
867.1772973537445,876.4791638851166,866.8917119503021,876.4139959812164,867.1046991348267,876.477992773056,867.1008219718933,873.4731011390686,867.1128168106079,876.4079110622406,867.1085879802704,873.4741461277008
891.8701794147491,901.1230697631836,888.7449522018433,901.0760498046875,888.7641832828522,901.0823140144348,891.8139808177948,901.1217772960663,888.7978692054749,898.1112449169159,888.7779114246368,901.1163170337677
