server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
126.60173320770264,135.8981704711914,123.54512572288513,135.89657855033875,126.54998588562012,135.8686809539795,123.5721344947815,135.84307217597961,123.54103231430054,135.84046959877014,123.5880274772644,135.89735388755798
151.34700226783752,160.64290380477905,148.23537516593933,157.62449407577515,151.29318499565125,160.63652634620667,148.26312470436096,160.64176177978516,148.27463603019714,160.630535364151,148.28718066215515,160.56152391433716
185.22696828842163,200.53972220420837,173.1352038383484,194.53941464424133,173.0809507369995,200.53858089447021,173.10299849510193,194.53450751304626,173.1508138179779,194.49796342849731,185.1690058708191,194.5280647277832
221.98440027236938,231.34579014778137,212.99864435195923,231.34432125091553,212.91175198554993,231.33399963378906,212.99864077568054,231.33987379074097,221.93021607398987,231.25412225723267,209.88796854019165,231.22943997383118
246.82375311851501,259.10952401161194,246.76204991340637,256.15996289253235,243.67746448516846,256.16111755371094,243.7564582824707,259.10835218429565,243.71621823310852,253.09909415245056,243.75280165672302,253.1611042022705
274.61663126945496,283.9261169433594,274.54880690574646,283.9199562072754,271.5031976699829,283.9147629737854,274.41204500198364,280.82614636421204,274.5527198314667,283.85055017471313,271.4859194755554,283.9249680042267
299.34532618522644,308.64616894721985,299.29401874542236,308.6450209617615,296.266970872879,308.63996291160583,299.2328426837921,308.6304156780243,299.2857503890991,308.6348943710327,293.2658100128174,308.62329053878784
324.16379475593567,333.4381437301636,324.09031867980957,333.4359381198883,324.10745763778687,333.39323925971985,323.9848413467407,330.389014005661,321.0942454338074,333.40145778656006,321.0782804489136,333.4374039173126
348.8469579219818,364.1479504108429,345.72058629989624,364.14682173728943,348.78015875816345,358.136057138443,348.7948520183563,355.12694478034973,345.71672892570496,358.1371443271637,342.7887680530548,358.14431858062744
379.62575602531433,394.94184613227844,379.55756521224976,385.9200894832611,376.53460454940796,388.9241609573364,376.547358751297,388.93067145347595,376.4383399486542,394.940660238266,376.55132365226746,385.9210350513458
410.3657066822052,419.6334846019745,410.2985463142395,416.5797598361969,410.3158495426178,419.6076307296753,407.1907889842987,419.62667512893677,407.28537940979004,419.6323413848877,407.3047444820404,416.5809073448181
